week,total_orders,cash_on_delivery_orders,online_payment_orders,percent_cash_on_delivery_orders,percent_online_payment_orders
2020-09-28/2020-10-04,906,533,373,0.5883002207505519,0.4116997792494481
2020-10-05/2020-10-11,1265,775,490,0.6126482213438735,0.38735177865612647
2020-10-12/2020-10-18,1474,891,583,0.6044776119402985,0.39552238805970147
2020-10-19/2020-10-25,1438,814,624,0.5660639777468707,0.4339360222531293
2020-10-26/2020-11-01,1456,799,657,0.5487637362637363,0.45123626373626374
2020-11-02/2020-11-08,2336,1345,991,0.5757705479452054,0.4242294520547945
2020-11-09/2020-11-15,4780,1307,3473,0.2734309623430962,0.7265690376569037
2020-11-16/2020-11-22,3370,871,2499,0.25845697329376854,0.7415430267062314
2020-11-23/2020-11-29,1782,871,911,0.4887766554433221,0.5112233445566778
2020-11-30/2020-12-06,1855,856,999,0.461455525606469,0.538544474393531
2020-12-07/2020-12-13,2820,1150,1670,0.4078014184397163,0.5921985815602837
2020-12-14/2020-12-20,12126,3839,8287,0.3165924459838364,0.6834075540161636
2020-12-21/2020-12-27,30634,6875,23759,0.22442384278905791,0.7755761572109421
2020-12-28/2021-01-03,10800,3213,7587,0.2975,0.7025
2021-01-04/2021-01-10,3133,1518,1615,0.4845196297478455,0.5154803702521544
2021-01-11/2021-01-17,2701,1531,1170,0.5668271010736764,0.4331728989263236
2021-01-18/2021-01-24,1891,1003,888,0.5304071919619249,0.46959280803807507
2021-01-25/2021-01-31,1492,817,675,0.5475871313672922,0.4524128686327078
2021-02-01/2021-02-07,2538,1473,1065,0.5803782505910166,0.41962174940898345
2021-02-08/2021-02-14,1489,832,657,0.5587642713230356,0.4412357286769644
2021-02-15/2021-02-21,1253,832,421,0.6640063846767758,0.33599361532322425
2021-02-22/2021-02-28,1247,808,439,0.6479550922213312,0.3520449077786688
2021-03-01/2021-03-07,2279,730,1549,0.3203159280386134,0.6796840719613866
2021-03-08/2021-03-14,1264,839,425,0.6637658227848101,0.3362341772151899
2021-03-15/2021-03-21,4721,1611,3110,0.3412412624443974,0.6587587375556027
2021-03-22/2021-03-28,8046,1781,6265,0.2213522247079294,0.7786477752920706
2021-03-29/2021-04-04,6702,1496,5206,0.22321695016413012,0.7767830498358699
2021-04-05/2021-04-11,3941,1423,2518,0.36107586906876427,0.6389241309312357
2021-04-12/2021-04-18,9189,1222,7967,0.1329850908695179,0.8670149091304821
2021-04-19/2021-04-25,3039,1234,1805,0.4060546232313261,0.5939453767686739
2021-04-26/2021-05-02,16974,894,16080,0.05266878755744079,0.9473312124425592
2021-05-03/2021-05-09,1584,981,603,0.6193181818181818,0.3806818181818182
2021-05-10/2021-05-16,1614,1094,520,0.677819083023544,0.322180916976456
2021-05-17/2021-05-23,2406,1680,726,0.6982543640897756,0.30174563591022446
2021-05-24/2021-05-30,1796,1064,732,0.5924276169265034,0.40757238307349664
2021-05-31/2021-06-06,3388,810,2578,0.23907910271546634,0.7609208972845336
2021-06-07/2021-06-13,6560,1138,5422,0.17347560975609755,0.8265243902439025
2021-06-14/2021-06-20,5376,734,4642,0.13653273809523808,0.8634672619047619
2021-06-21/2021-06-27,2801,818,1983,0.2920385576579793,0.7079614423420207
2021-06-28/2021-07-04,3188,1113,2075,0.34912170639899626,0.6508782936010038
2021-07-05/2021-07-11,2433,679,1754,0.2790793259350596,0.7209206740649404
2021-07-12/2021-07-18,1955,579,1376,0.2961636828644501,0.7038363171355498
2021-07-19/2021-07-25,2120,740,1380,0.3490566037735849,0.6509433962264151
2021-07-26/2021-08-01,2011,691,1320,0.34361014420686226,0.6563898557931377
2021-08-02/2021-08-08,1822,678,1144,0.3721185510428101,0.6278814489571899
2021-08-09/2021-08-15,1929,657,1272,0.3405909797822706,0.6594090202177294
2021-08-16/2021-08-22,1845,585,1260,0.3170731707317073,0.6829268292682927
2021-08-23/2021-08-29,1392,446,946,0.3204022988505747,0.6795977011494253
2021-08-30/2021-09-05,1411,501,910,0.3550673281360737,0.6449326718639263
2021-09-06/2021-09-12,1530,573,957,0.37450980392156863,0.6254901960784314
2021-09-13/2021-09-19,4099,751,3348,0.18321541839473043,0.8167845816052696
2021-09-20/2021-09-26,958,359,599,0.3747390396659708,0.6252609603340292
2021-09-27/2021-10-03,557,238,319,0.4272890484739677,0.5727109515260324
